Date;Producto ;Cantidad;Cantidad_prom;Precio;Total_Venta;Kilometraje
01/04/2019;Diesel;154,87;41,39;8749,33;1351433,00;50964,00
02/04/2019;Diesel;184,16;46,04;8766,25;1613348,00;49895,50
03/04/2019;Diesel;268,57;53,71;8745,00;2349867,00;52634,80
04/04/2019;Diesel;242,05;41,71;8694,00;2102928,00;59496,40
05/04/2019;Diesel;196,76;49,19;8857,00;1744307,00;54833,75
06/04/2019;Diesel;279,21;55,84;8798,60;2453518,00;165911,40
07/04/2019;Diesel;118,43;59,21;8655,00;1025434,00;346981,50
08/04/2019;Diesel;249,63;41,61;8690,00;2173023,00;249412,83
09/04/2019;Diesel;77,78;38,89;8747,50;679009,00;50192,50
10/04/2019;Diesel;221,83;55,46;8790,75;1955998,00;201040,00
11/04/2019;Diesel;270,60;39,32;8706,34;2357146,00;147136,00
12/04/2019;Diesel;227,30;56,83;8727,00;1971419,00;346043,00
13/04/2019;Diesel;229,60;45,92;8843,40;2038831,00;59039,20
14/04/2019;Diesel;147,05;73,52;8709,00;1284954,00;394142,50
15/04/2019;Diesel;265,12;66,28;8797,25;2322377,00;219517,25
16/04/2019;Diesel;272,33;45,39;8739,98;2375022,00;168287,33
17/04/2019;Diesel;167,30;41,82;8799,74;1474424,00;59055,75
18/04/2019;Diesel;278,61;55,72;8887,80;2478750,00;55237,20
19/04/2019;Diesel;119,92;59,96;8955,00;1073301,00;46351,50
20/04/2019;Diesel;188,61;53,83;8880,85;1675491,67;53548,15
21/04/2019;Diesel;50,03;50,03;8998,00;450170,00;43273,00
22/04/2019;Diesel;281,78;46,96;8738,33;2462802,00;64446,17
23/04/2019;Diesel;138,00;48,50;8695,00;1198972,00;47394,00
24/04/2019;Diesel;200,22;50,06;8822,00;1766624,00;65610,75
25/04/2019;Diesel;339,27;49,76;8683,17;2940259,00;59627,50
26/04/2019;Diesel;124,59;41,53;8626,67;1070620,00;67055,33
27/04/2019;Diesel;218,52;45,37;8534,75;1866373,00;66005,25
28/04/2019;Diesel;89,13;44,56;8719,49;775146,00;53304,00
29/04/2019;Diesel;164,50;54,83;8882,00;1465375,00;57525,67
30/04/2019;Diesel;186,97;46,74;8486,00;1586358,00;67322,75
01/05/2019;Diesel;1773,92;14,11;8576,81;15214472,00;82893,08
02/05/2019;Diesel;3945,34;16,23;8627,53;34135170,00;96154,01
03/05/2019;Diesel;3366,43;15,61;8607,90;29023140,00;90520,19
04/05/2019;Diesel;3917,95;17,13;8606,57;33714564,00;105513,36
05/05/2019;Diesel;409,66;31,51;8669,99;3521530,00;65402,31
06/05/2019;Diesel;3088,09;15,06;8584,62;26436191,00;87699,32
07/05/2019;Diesel;3704,56;16,02;8620,10;32040427,00;102083,15
08/05/2019;Diesel;3509,39;16,15;8571,70;30079423,00;89875,29
09/05/2019;Diesel;3889,40;16,91;8608,98;33493249,00;100524,77
10/05/2019;Diesel;3527,19;15,85;8616,91;30385516,00;88842,64
11/05/2019;Diesel;3474,98;15,38;8633,78;30035028,00;96174,40
12/05/2019;Diesel;451,83;25,10;8519,05;3877671,00;105193,67
13/05/2019;Diesel;2546,33;13,94;8612,39;21896063,00;95265,03
14/05/2019;Diesel;4194,63;16,72;8633,93;36237258,00;104183,29
15/05/2019;Diesel;3391,09;15,46;8614,74;29173906,00;97249,68
16/05/2019;Diesel;3772,61;16,63;8600,23;32464766,00;105645,87
17/05/2019;Diesel;3442,60;15,57;8733,25;30077009,00;103050,25
18/05/2019;Diesel;3947,73;17,23;8716,84;34294418,00;126077,67
19/05/2019;Diesel;213,14;35,52;8839,34;1893268,00;96002,00
20/05/2019;Diesel;1553,92;19,30;8706,56;13418723,00;97398,89
21/05/2019;Diesel;3630,54;15,29;8716,74;31604974,00;109983,19
22/05/2019;Diesel;3420,45;15,36;8724,89;29833265,00;185783,10
23/05/2019;Diesel;3729,47;16,31;8715,39;32412227,00;100281,40
24/05/2019;Diesel;3553,82;16,38;8733,93;30955628,00;93519,91
25/05/2019;Diesel;3764,16;15,72;8707,73;32677617,00;90350,35
26/05/2019;Diesel;376,96;29,00;8757,47;3283903,00;94427,23
27/05/2019;Diesel;2950,06;14,77;8734,86;25702884,00;99684,99
28/05/2019;Diesel;3671,13;15,72;8720,17;31994714,00;106300,84
29/05/2019;Diesel;3438,59;15,07;8720,10;29977760,00;96323,52
30/05/2019;Diesel;3604,15;15,30;8704,77;31209629,00;97972,80
31/05/2019;Diesel;3753,90;17,33;8737,07;32790963,00;97378,77
01/06/2019;Diesel;3643,30;15,27;8639,76;31583585,00;102407,43
02/06/2019;Diesel;469,46;24,71;8795,05;4089356,00;78550,47
03/06/2019;Diesel;637,56;17,71;8233,08;5331590,00;89290,69
04/06/2019;Diesel;3740,61;15,05;8630,74;32389326,00;127207,81
05/06/2019;Diesel;3928,94;16,58;8612,91;33825001,00;104652,69
06/06/2019;Diesel;3283,65;14,64;8605,56;28189128,00;106971,16
07/06/2019;Diesel;3934,43;16,88;8644,15;34002221,00;105539,92
08/06/2019;Diesel;3584,60;16,25;8637,60;31062774,89;94555,80
09/06/2019;Diesel;376,03;31,34;8608,08;3248919,00;113422,58
10/06/2019;Diesel;3040,15;15,08;8611,30;26146861,00;105384,82
11/06/2019;Diesel;3941,09;16,67;8633,91;34013429,00;99673,25
12/06/2019;Diesel;3525,07;16,38;8600,75;30328110,00;101555,19
13/06/2019;Diesel;3902,69;16,30;8667,48;34003781,00;104360,77
14/06/2019;Diesel;3647,17;15,92;8651,62;31519397,89;99294,12
15/06/2019;Diesel;3484,29;16,22;8638,98;30219021,89;94961,19
16/06/2019;Diesel;405,94;31,23;8929,01;3659089,00;83704,31
17/06/2019;Diesel;3682,24;16,01;8773,37;32148962,00;104672,87
18/06/2019;Diesel;3375,48;15,20;8738,75;29460088,00;111785,66
19/06/2019;Diesel;3576,82;16,18;8755,92;31259973,00;106840,82
20/06/2019;Diesel;3953,63;16,45;8756,22;34615569,00;106596,52
21/06/2019;Diesel;3862,17;15,96;8734,50;33702046,00;97676,89
22/06/2019;Diesel;3843,15;17,50;8765,64;33653834,00;103924,88
