Date;Total_Nutresa
01/01/2015;196742
02/01/2015;392963
03/01/2015;396502
04/01/2015;346360
05/01/2015;540669
06/01/2015;582937
07/01/2015;597071
08/01/2015;599341
09/01/2015;596806
10/01/2015;518696
11/01/2015;362572
12/01/2015;385413
13/01/2015;571504
14/01/2015;590364
15/01/2015;605594
16/01/2015;603621
17/01/2015;510305
18/01/2015;339919
19/01/2015;571801
20/01/2015;594229
21/01/2015;595316
22/01/2015;604824
23/01/2015;596456
24/01/2015;488153
25/01/2015;374665
26/01/2015;574653
27/01/2015;617224
28/01/2015;610619
29/01/2015;622183
30/01/2015;615391
31/01/2015;505044
01/02/2015;342110
02/02/2015;598057
03/02/2015;624624
04/02/2015;624011
05/02/2015;628510
06/02/2015;623775
07/02/2015;531154
08/02/2015;395310
09/02/2015;598718
10/02/2015;626000
11/02/2015;637061
12/02/2015;627740
13/02/2015;616320
14/02/2015;506146
15/02/2015;324441
16/02/2015;570157
17/02/2015;600732
18/02/2015;619057
19/02/2015;616772
20/02/2015;619570
21/02/2015;552864
22/02/2015;411505
23/02/2015;600159
24/02/2015;633093
25/02/2015;624071
26/02/2015;620242
27/02/2015;604554
28/02/2015;478778
01/03/2015;305956
02/03/2015;588450
03/03/2015;620768
04/03/2015;623520
05/03/2015;612652
06/03/2015;605965
07/03/2015;551578
08/03/2015;356847
09/03/2015;570883
10/03/2015;622489
11/03/2015;620101
12/03/2015;620032
13/03/2015;603927
14/03/2015;503317
15/03/2015;290992
16/03/2015;563627
17/03/2015;586554
18/03/2015;575134
19/03/2015;575444
20/03/2015;578597
21/03/2015;530071
22/03/2015;380310
23/03/2015;404156
24/03/2015;593993
25/03/2015;622240
26/03/2015;612218
27/03/2015;625130
28/03/2015;523042
29/03/2015;373324
30/03/2015;559482
31/03/2015;543786
01/04/2015;501968
02/04/2015;273921
03/04/2015;230820
04/04/2015;306877
05/04/2015;310847
06/04/2015;580451
07/04/2015;616437
08/04/2015;617273
09/04/2015;621316
10/04/2015;619640
11/04/2015;541014
12/04/2015;382159
13/04/2015;575869
14/04/2015;611131
15/04/2015;608958
16/04/2015;614364
17/04/2015;592620
18/04/2015;503924
19/04/2015;312058
20/04/2015;559948
21/04/2015;596478
22/04/2015;611551
23/04/2015;601223
24/04/2015;606464
25/04/2015;521174
26/04/2015;370678
27/04/2015;586401
28/04/2015;594217
29/04/2015;579528
30/04/2015;532528
01/05/2015;346386
02/05/2015;415365
03/05/2015;355702
04/05/2015;588999
05/05/2015;630223
06/05/2015;622616
07/05/2015;598605
08/05/2015;588366
09/05/2015;503163
10/05/2015;324922
11/05/2015;595080
12/05/2015;620128
13/05/2015;623184
14/05/2015;624384
15/05/2015;614821
16/05/2015;547580
17/05/2015;366707
18/05/2015;409777
19/05/2015;598923
20/05/2015;616739
21/05/2015;619742
22/05/2015;616260
23/05/2015;547231
24/05/2015;367823
25/05/2015;591817
26/05/2015;625024
27/05/2015;622968
28/05/2015;621685
29/05/2015;602012
30/05/2015;498586
31/05/2015;289706
01/06/2015;579655
02/06/2015;602338
03/06/2015;620359
04/06/2015;632382
05/06/2015;637370
06/06/2015;567979
07/06/2015;422739
08/06/2015;432108
09/06/2015;627507
10/06/2015;638317
11/06/2015;641971
12/06/2015;635533
13/06/2015;527577
14/06/2015;279749
15/06/2015;411837
16/06/2015;606983
17/06/2015;624653
18/06/2015;634978
19/06/2015;651069
20/06/2015;561490
21/06/2015;331978
22/06/2015;603531
23/06/2015;642991
24/06/2015;653865
25/06/2015;617809
26/06/2015;635402
27/06/2015;516022
28/06/2015;276678
29/06/2015;350577
30/06/2015;567114
01/07/2015;593216
02/07/2015;597603
03/07/2015;612576
04/07/2015;540166
05/07/2015;397583
06/07/2015;599367
07/07/2015;618319
08/07/2015;625226
09/07/2015;609292
10/07/2015;602639
11/07/2015;489428
12/07/2015;289647
