Date;Ton_prod_nutresa;Carb�n_nutresa;Diesel_ACPM_nutresa;GLP_nutresa;gas_nutresa;gasolina_nutresa;C_Carb�n_nutresa;C_Diesel_nutresa;C_GLP_liquido_nutresa;C_GLP_gasesoso_nutresa;C_gas_nutresa;C_gasolina_nutresa;energia_termica_nutresa;energia_electrica_nutresa;Emisiones;;;;;;
31/1/2013;60115;0;2702;1616;2578964;619;0;102213;43567;15;24227376;20458;23215658;12381658;6097;;;;;;
28/2/2013;57484;160;2617;1735;2612663;607;1187370;98985;46777;15;24543952;20044;24393827;11398571;6176;;;;;;
31/3/2013;54941;0;2639;1539;2602270;540;0;99802;41503;13;24446318;17832;23641532;11585973;6150;;;;;;
30/4/2013;63955;0;5200;1190;2930993;673;0;196637;32102;13;27534416;22241;25716567;12880724;6946;;;;;;
31/5/2013;62903;0;2841;1828;3193059;690;0;107449;49299;12;29996324;22812;27644011;12651852;7542;;;;;;
30/6/2013;58257;0;2091;1564;2651124;544;0;79071;42191;13;24905263;17976;23199434;12055198;6259;;;;;;
31/7/2013;63783;20;5387;12295;3029059;810;145675;203733;331647;20;28455671;26775;26535808;13020925;7251;;;;;;
31/8/2013;64402;0;4110;1998;3127670;562;0;155415;53885;22;29382045;18563;27047721;12938566;7401;;;;;;
30/9/2013;63406;0;2453;3666;3029986;690;0;92743;98889;15;28464379;22805;25848660;12731627;7167;;;;;;
31/10/2013;66739;143;9389;2994;3100434;644;1064552;355076;80740;16;29126184;21265;27909656;13171211;7398;;;;;;
30/11/2013;64585;0;3083;1777;3102743;666;0;116603;47923;15;29147875;22006;26990681;12648183;7332;;;;;;
31/12/2013;57495;0;1430;1395;2623940;528;0;54080;37605;20;24649890;17464;23499707;11926890;6187;;;;;;
31/1/2014;64620;0;1875;1638;2560120;752;0;70909;37146;7886;24050354;24863;24191159;13023102;6045;;;;;;
28/2/2014;59612;0;1566;2310;2551850;584;0;59229;55018;8155;23972662;19303;24114366;12038036;6026;;;;;;
31/3/2014;67924;148;2444;1799;2555869;660;1098317;92432;43796;5302;24010416;21823;25272087;13235358;6042;;;;;;
30/4/2014;59612;76;5993;4778;2558621;727;561997;226661;122486;7178;24036268;24030;24978619;12465875;6104;;;;;;
31/5/2014;68703;70;3973;1926;2859551;641;521478;150268;45590;7116;26863277;21197;27608925;13459569;6771;;;;;;
30/6/2014;59217;30;3433;1797;2643567;652;222632;129819;42879;6249;24834270;21546;25257395;12621073;6257;;;;;;
31/7/2014;69613;0;1118;2199;2814398;725;0;42294;53457;6550;26439095;23956;26565352;13901295;6638;;;;;;
31/8/2014;66711;42;649;1763;2674651;689;312204;24545;42609;5546;25126283;22753;25533941;13215922;6302;;;;;;
30/9/2014;67323;0;2143;2253;2823487;630;0;81035;53197;8482;26524481;20821;26688016;13147819;6669;;;;;;
31/10/2014;70103;0;3243;1929;2905669;689;0;122632;44727;8177;27296516;22768;27494820;13855293;6872;;;;;;
30/11/2014;66274;0;3362;1795;2579674;613;0;126047;42650;6459;24234043;20270;24429469;13712882;6106;;;;;;
31/12/2014;63878;0;2868;1724;2650002;637;0;108463;41004;6151;24894720;21050;25071388;12761969;6266;;;;;;
31/1/2015;66347;0;2651;859;2608975;538;0;100264;16968;6951;24509305;17777;24651266;12894092;6161;;;;;;
28/2/2015;68005;0;1963;2553;2778346;524;0;74219;64004;5437;26100414;17315;26261390;12806185;6563;;;;;;
31/3/2015;67348;98;3978;3002;2730725;596;725261;150451;72755;9216;25653053;19699;26630434;13375954;6475;;;;;;
30/4/2015;62624;100;3167;2635;2569614;615;742106;119752;68007;3441;24139542;20331;25093179;12515801;6086;;;;;;
31/5/2015;67675;0;2963;1865;2904406;656;0;112063;47006;3710;27284650;21688;27469117;13367544;6865;;;;;;
30/6/2015;65226;0;1362;1913;2784441;673;0;51520;48611;3349;26157669;22223;26283372;13296660;6568;;;;;;
31/7/2015;71396;0;2623;2062;3151921;639;0;99207;50904;5279;29609864;21116;29786370;13783203;7444;;;;;;
31/8/2015;68751;171;2065;2200;2660861;584;1269670;78079;53642;6388;24996731;19298;26423808;13371524;6286;;;;;;
30/9/2015;69730;105;2830;11269;2929605;652;782625;107013;297994;6716;27521379;21555;28737282;13434951;6984;;;;;;
31/10/2015;68718;119;8968;30201;2764980;572;884368;339162;808696;6725;25974852;18899;28032704;13613297;6782;;;;;;
30/11/2015;66672;103;5002;24737;2771584;605;763553;189171;663308;4473;26036888;19992;27677385;13375831;6722;;;;;;
31/12/2015;62259;145;10109;35691;2312134;513;1077687;382299;953924;9938;21720715;16952;24161514;13053420;5765;;;;;;
31/1/2016;65025;0;2319;9628;2577780;520;0;87718;252876;7664;24216255;17183;24581697;13798074;6141;;;;;;
29/2/2016;67976;180;7713;4791;2721033;660;1339279;291690;122216;7845;25562009;21810;27344848;13925462;6502;;;;;;
31/3/2016;63567;0;13004;2546;2864409;572;0;491792;63286;6040;26908907;18902;27488928;12874723;6877;;;;;;
30/4/2016;67993;0;13788;2901;3006959;560;0;521426;72917;5968;28248056;18505;28866871;12673640;7222;;;;;;
31/5/2016;65066;0;3459;2315;2935744;522;0;130799;57325;5722;27579048;17259;27790153;12654577;6946;;;;;;
30/6/2016;66139;0;1604;2184;2882149;557;0;60650;54115;5359;27075565;18415;27214103;12822571;6801;;;;;;
31/7/2016;59333;0;4548;3547;2548697;501;0;171981;77144;20749;23943039;16555;24229469;12332578;6055;;;;;;
31/8/2016;74395;0;1416;3466;3032186;600;0;53552;78191;17126;28485050;19817;28653736;13844031;7159;;;;;;
30/9/2016;72162;139;2447;4417;2850005;605;1030637;92531;108350;12093;26773600;19992;28037203;13345464;6748;;;;;;
31/10/2016;72884;0;2694;2574;3121133;594;0;101865;62140;8148;29320637;19622;29512411;13348824;7375;;;;;;
30/11/2016;71356;0;3101;2541;3124531;503;0;117292;55720;14339;29352553;16608;29556512;13620547;7386;;;;;;
31/12/2016;64479;0;2015;2935;2710954;516;0;76197;68639;11787;25467315;17067;25641005;12935853;6407;;;;;;
31/1/2017;65079;0;931;2565;2785987;585;0;35208;59401;10960;26172195;19332;26297096;12811974;6570;;;;;;
28/2/2017;62163;0;2079;2836;2602431;619;0;78613;68502;8966;24447827;20454;24624360;12008957;6153;;;;;;
31/3/2017;64921;0;1288;2853;2931002;550;0;48728;72941;4503;27534499;18163;27678834;12267012;6916;;;;;;
30/4/2017;57211;90;1515;3545;2881848;492;670048;57288;85768;11023;27072737;16258;27913121;11529272;6807;;;;;;
31/5/2017;66639;0;1905;3129;2653134;726;0;72058;80037;4881;24924142;23999;25105117;12994185;6273;;;;;;
30/6/2017;65707;0;2390;2686;2900869;525;0;90399;67426;5635;27251420;17349;27432228;12350168;6855;;;;;;
31/7/2017;67873;0;2930;3261;2960856;663;0;110797;80074;8834;27814961;21904;28036569;12806357;7006;;;;;;
31/8/2017;73789;45;3513;3442;3086123;589;333948;132869;81245;12991;28991744;19447;29572244;13252775;7307;;;;;;
30/9/2017;72869;39;2363;2373;2911316;592;287640;89369;52061;13374;27349567;19560;27811572;12990788;6878;;;;;;
31/10/2017;69190;0;4021;3316;3105065;594;0;152073;71323;20271;29169691;19632;29432990;12886010;7355;;;;;;
30/11/2017;67325;0;3253;3638;2909156;564;0;123015;76367;24356;27329278;18633;27571648;12630631;6889;;;;;;
31/12/2017;60640;0;1856;4090;2552343;464;0;70178;92096;20385;23977290;15334;24175283;11760524;6040;;;;;;
31/1/2018;66305;449;5896;13619;2557725;523;3329015;222961;350619;18766;24027852;17273;27966487;12724266;6157;;;;;;
28/2/2018;64269;0;1887;3291;2571556;649;0;71379;75938;14373;24157786;21460;24340937;11831205;6082;;;;;;
31/3/2018;60013;0;3372;2633;2406472;558;0;127522;60029;12306;22606949;18429;22825236;11918025;5704;;;;;;
30/4/2018;63820;0;2948;2994;2670170;706;0;111476;73295;8345;25084181;23320;25300617;12115362;6323;;;;;;
31/5/2018;68915;0;5262;2816;2878805;621;0;198997;67953;8957;27044147;20535;27340590;12759119;6834;;;;;;
30/6/2018;65566;65;25736;31062;2514292;655;482369;973292;827917;11216;23619832;21644;26013165;12615138;6369;;;;;;
31/7/2018;67386;21;1599;3041;2895449;659;155026;60483;72121;11073;27200508;21790;27521001;13034458;6838;;;;;;
31/8/2018;72791;0;1881;3213;2857870;702;0;71131;78386;9268;26847484;23191;27029461;13259471;6754;;;;;;
30/9/2018;69814;0;1804;2542;2734875;614;0;68235;60697;8803;25692042;20298;25850075;12751923;6459;;;;;;
31/10/2018;69096;0;3992;3274;2771527;691;0;150977;79149;10264;26036354;22836;26299579;13568707;6573;;;;;;
30/11/2018;64519;0;3205;2806;2522261;671;0;121203;60690;16786;23694699;22170;23915547;12625713;5976;;;;;;
31/12/2018;58426;0;2581;2297;2238500;619;0;97623;52880;10152;21028979;20463;21210098;11896280;5300;;;;;;
31/1/2019;69582;27;4411;4138;2816053;664;200369;166803;102058;10695;26454648;21947;26956520;13373128;6687;;;;;;
28/2/2019;66435;0;3650;3029;2702462;650;0;138026;74724;7814;25387547;21481;25629592;12396046;6405;;;;;;
31/3/2019;71690;147;3372;3092;2725282;681;1087779;127531;72877;11778;25601925;22489;26924379;13306926;6457;;;;;;
30/4/2019;63713;189;5243;3176;2497476;743;1401097;198291;75343;11549;23461861;24536;25172676;12261916;5942;;;;;;
31/5/2019;77515;0;2044;14539;2857052;2518;0;77311;379442;14270;26839797;83218;27394039;14200658;6841;;;;;;
30/6/2019;72005;0;3124;3471;2849577;649;0;118131;83748;11045;26769573;21446;27003943;13113365;6748;;;;;;
31/7/2019;77514;35;3351;4439;3018430;815;259737;126726;103778;17863;28355821;26935;28890860;14153750;7154;;;;;;
31/8/2019;76339;261;3221;2990;2655325;679;1934449;121799;67727;14454;24944724;22451;27105603;13571347;6291;;;;;;
30/9/2019;72402;28;5148;3589;2698861;742;206602;194690;85704;12418;25353716;24526;25877656;13912796;6416;;;;;;
31/10/2019;72962;0;3306;6990;2970398;758;0;125016;170342;20379;27904593;25031;28245362;14559733;7057;;;;;;
30/11/2019;72212;0;2014;4016;2663388;773;0;76162;99591;9781;25020472;25550;25231557;13755030;6304;;;;;;
31/12/2019;66861;0;2499;3880;2662040;712;0;94525;93675;12282;25007814;23519;25231816;13074200;6305;;;;;;
31/1/2020;72535;457;8318;4958;2628481;791;3649795;316039;109248;11081;26031952;25058;30143173;14483989;6293;;;;;;
29/2/2020;75567;253;5065;4680;2855138;846;2021512;192430;110411;6987;28276715;26818;30634873;14026777;6791;;;;;;
31/3/2020;79610;258;7247;1422;2933411;818;2064974;275332;4705;15827;29051913;25923;31438674;15150263;6974;;;;;;
30/4/2020;77255;259;5442;1050;2840994;811;2066891;206771;4705;11110;28136631;25690;30451799;13664039;6737;;;;;;
31/5/2020;78864;274;6617;1064;3021130;826;2186250;251416;4705;11284;29920663;26159;32400477;14363025;7172;;;;;;
30/6/2020;77458;239;5831;1348;2854301;763;1907666;221535;8849;12924;28268428;24167;30443570;14022309;6774;;;;;;
31/7/2020;83089;828;6091;1180;2924098;868;6611559;231426;5000;12623;28959680;27491;35847778;15111019;6941;;;;;;
31/8/2020;75947;470;6066;852;2927920;762;3758529;230466;4705;8588;28997528;24155;33023972;14383352;6947;;;;;;
30/9/2020;77329;374;5473;1358;2940332;832;2985412;207932;10534;12253;29120456;26376;32362963;14298628;6973;;;;;;
31/10/2020;80517;283;7300;1177;3059378;682;2259991;277346;14897;7876;30299470;21613;32881193;15259977;7269;;;;;;
30/11/2020;78423;318;6449;1113;2889630;633;2536657;245015;12288;8302;28618316;20061;31440639;14362046;6861;;;;;;
31/12/2020;71464;309;5675;823;2619009;731;2471385;215631;3235;8913;25938145;23172;28660482;13801761;6217;;;;;;
31/1/2021;69906;339;6663;788;2780081;588;2428956;253165;2941;15397;27531670;18641;30250770;13841201;6604;;;;;;
28/2/2021;75110;299;4660;746;2839417;644;2144284;177050;4705;12951;28119280;20416;30478686;14027549;6723;;;;;;
31/3/2021;77860;450;17419;13954;2753871;723;3222768;661823;357506;13217;27272101;22909;31550325;14850263;6738;;;;;;
30/4/2021;72891;313;6072;1021;2681450;698;2245983;230700;9277;15314;26554910;22118;29078302;14533436;6368;;;;;;
31/5/2021;62741;261;8722;724;2497907;703;1871294;331383;5882;11444;24737242;22260;26979504;13931817;5962;;;;;;
30/6/2021;80183;438;6772;770;2759167;795;3137625;257296;6176;12239;27324553;25177;30763065;15781844;6557;;;;;;
31/7/2021;88484;318;6250;999;3151112;670;2281244;237482;7620;16212;31206053;21215;33769825;16489289;7472;;;;;;
31/8/2021;85003;315;26362;14272;3018279;644;2257593;1001617;348335;28225;29890590;20396;33546757;16053768;7449;;;;;;
