Date;cacao_nal;Precio_cacao_und;cantidad_cacao;cafe_nal;Precio_cafe;cantidad_cafe;cerdo_nal;Precio_carne_cerdo;cantid_carne_cerdo;res_nal;Precio_carne_res;cant_carne_res
31/01/2012;15221690591;4556,31;3340792,42;36194218123;8910,39;4062025,988;1635723450;137581,00;11889,17;11379919813;4868,07;2337664
29/02/2012;6988862125;4104,18;1702864,74;38215580564;7802,52;4897850,281;1912227055;240806,49;7940,93;11074247493;4889,86;2264738
31/03/2012;6352422602;3897,74;1629770,93;41952587513;7294,42;5751325,682;2196255421;219057,40;10025,94;12866884876;4519,61;2846902
30/04/2012;5247481820;3615,80;1451265,85;31321165938;7758,11;4037213,956;1963351046;121120,18;16209,94;9366589672;4913,33;1906363
31/05/2012;6680344721;3587,78;1861973,95;32126511651;8709,61;3688627,757;2015240453;183810,80;10963,67;11302336462;5054,23;2236213
30/06/2012;6332270301;3487,16;1815879,37;30737187088;6849,17;4487723,629;1825108779;162997,20;11197,18;10984565330;4718,84;2327811
31/07/2012;6220628414;3545,22;1754651,74;23378842134;6692,64;3493214,345;1941249391;122592,12;15835,03;12925906553;4769,58;2710075
31/08/2012;3675623408;3710,77;990529,06;20341416987;5880,65;3459045,109;2659863904;105165,69;25292,13;14278047627;4752,63;3004241
30/09/2012;2976388537;4140,51;718846,04;22461968571;5827,87;3854232,071;2455242900;6019,47;407883,44;12951620381;4705,12;2752665
31/10/2012;7951871854;4083,17;1947476,98;35746193948;5648,88;6328017,818;3091938065;65317,66;47336,94;12858069871;5127,79;2507525
30/11/2012;9160236775;3913,16;2340881,39;24579779707;6432,48;3821198,721;3011924857;61077,32;49313,31;12693575912;4742,02;2676828
31/12/2012;13628101725;3913,00;3482772,28;23139689411;5576,59;4149429,792;2211440101;4528,78;488308,37;10697270371;5021,84;2130149
31/01/2013;10388811576;3591,93;2892266,13;24717626629;6128,70;4033092,118;2421116850;55314,69;43769,87;12635358714;4703,98;2686098
28/02/2013;6315822359;3624,34;1742614,51;29146988166;5956,87;4893006,236;3641157461;6329,97;575224,95;12549800196;4860,88;2581797
31/03/2013;4683987722;3620,48;1293749,21;24978856736;5228,10;4777809,396;3452063647;46774,73;73801,89;10861599740;4948,12;2195094
30/04/2013;9029396958;3656,74;2469247,89;24978466759;5782,85;4319403,266;5032327900;38262,31;131521,79;12166134697;4624,03;2631070
31/05/2013;10411380453;3923,94;2653296,91;22996534947;6890,90;3337232,54;5889889621;6677,93;881993,91;12657684121;4567,10;2771491
