Date,Emisiones
2013-01-31,6097
2013-02-28,6176
2013-03-31,6150
2013-04-30,6946
2013-05-31,7542
2013-06-30,6259
2013-07-31,7251
2013-08-31,7401
2013-09-30,7167
2013-10-31,7398
2013-11-30,7332
2013-12-31,6187
2014-01-31,6045
2014-02-28,6026
2014-03-31,6042
2014-04-30,6104
2014-05-31,6771
2014-06-30,6257
2014-07-31,6638
2014-08-31,6302
2014-09-30,6669
2014-10-31,6872
2014-11-30,6106
2014-12-31,6266
2015-01-31,6161
2015-02-28,6563
2015-03-31,6475
2015-04-30,6086
2015-05-31,6865
2015-06-30,6568
2015-07-31,7444
2015-08-31,6286
2015-09-30,6984
2015-10-31,6782
2015-11-30,6722
2015-12-31,5765
2016-01-31,6141
2016-02-29,6502
2016-03-31,6877
2016-04-30,7222
2016-05-31,6946
2016-06-30,6801
2016-07-31,6055
2016-08-31,7159
2016-09-30,6748
2016-10-31,7375
2016-11-30,7386
2016-12-31,6407
2017-01-31,6570
2017-02-28,6153
2017-03-31,6916
2017-04-30,6807
2017-05-31,6273
2017-06-30,6855
2017-07-31,7006
2017-08-31,7307
2017-09-30,6878
2017-10-31,7355
2017-11-30,6889
2017-12-31,6040
2018-01-31,6157
2018-02-28,6082
2018-03-31,5704
2018-04-30,6323
2018-05-31,6834
2018-06-30,6369
2018-07-31,6838
2018-08-31,6754
2018-09-30,6459
2018-10-31,6573
2018-11-30,5976
2018-12-31,5300
2019-01-31,6687
2019-02-28,6405
2019-03-31,6457
2019-04-30,5942
2019-05-31,6841
2019-06-30,6748
2019-07-31,7154
2019-08-31,6291
2019-09-30,6416
2019-10-31,7057
2019-11-30,6304
2019-12-31,6305
2020-01-31,6293
2020-02-29,6791
2020-03-31,6974
2020-04-30,6737
2020-05-31,7172
2020-06-30,6774
2020-07-31,6941
2020-08-31,6947
2020-09-30,6973
2020-10-31,7269
2020-11-30,6861
2020-12-31,6217
2021-01-31,6604
2021-02-28,6723
2021-03-31,6738
2021-04-30,6368
2021-05-31,5962
2021-06-30,6557
2021-07-31,7472
2021-08-31,7449
2021-09-30,7612
2021-10-31,7990
2021-11-30,8022
2021-12-31,7359
2022-01-31,7094
2022-02-28,7576
2022-03-31,7946
2022-04-30,7160
2022-05-31,7956
2022-06-30,7137
2022-07-31,8282
2022-08-31,8109
2022-09-30,7954
2022-10-31,7962
2022-11-30,7800
2022-12-31,7112
2023-01-31,8559
2023-02-28,8130
2023-03-31,8772
2023-04-30,7625
2023-05-31,8735
2023-06-30,8495
2023-07-31,8654
2023-08-31,9000
2023-09-30,8686
2023-10-31,8651
2023-11-30,8482
2023-12-31,7902
2024-01-31,6302
2024-02-29,5166
