Date,energia_termica_nutresa
2013-01-31,23215658
2013-02-28,24393827
2013-03-31,23641532
2013-04-30,25716567
2013-05-31,27644011
2013-06-30,23199434
2013-07-31,26535808
2013-08-31,27047721
2013-09-30,25848660
2013-10-31,27909656
2013-11-30,26990681
2013-12-31,23499707
2014-01-31,24191159
2014-02-28,24114366
2014-03-31,25272087
2014-04-30,24978619
2014-05-31,27608925
2014-06-30,25257395
2014-07-31,26565352
2014-08-31,25533941
2014-09-30,26688016
2014-10-31,27494820
2014-11-30,24429469
2014-12-31,25071388
2015-01-31,24651266
2015-02-28,26261390
2015-03-31,26630434
2015-04-30,25093179
2015-05-31,27469117
2015-06-30,26283372
2015-07-31,29786370
2015-08-31,26423808
2015-09-30,28737282
2015-10-31,28032704
2015-11-30,27677385
2015-12-31,24161514
2016-01-31,24581697
2016-02-29,27344848
2016-03-31,27488928
2016-04-30,28866871
2016-05-31,27790153
2016-06-30,27214103
2016-07-31,24229469
2016-08-31,28653736
2016-09-30,28037203
2016-10-31,29512411
2016-11-30,29556512
2016-12-31,25641005
2017-01-31,26297096
2017-02-28,24624360
2017-03-31,27678834
2017-04-30,27913121
2017-05-31,25105117
2017-06-30,27432228
2017-07-31,28036569
2017-08-31,29572244
2017-09-30,27811572
2017-10-31,29432990
2017-11-30,27571648
2017-12-31,24175283
2018-01-31,27966487
2018-02-28,24340937
2018-03-31,22825236
2018-04-30,25300617
2018-05-31,27340590
2018-06-30,26013165
2018-07-31,27521001
2018-08-31,27029461
2018-09-30,25850075
2018-10-31,26299579
2018-11-30,23915547
2018-12-31,21210098
2019-01-31,26956520
2019-02-28,25629592
2019-03-31,26924379
2019-04-30,25172676
2019-05-31,27394039
2019-06-30,27003943
2019-07-31,28890860
2019-08-31,27105603
2019-09-30,25877656
2019-10-31,28245362
2019-11-30,25231557
2019-12-31,25231816
2020-01-31,30143173
2020-02-29,30634873
2020-03-31,31438674
2020-04-30,30451799
2020-05-31,32400477
2020-06-30,30443570
2020-07-31,35847778
2020-08-31,33023972
2020-09-30,32362963
2020-10-31,32881193
2020-11-30,31440639
2020-12-31,28660482
2021-01-31,30250770
2021-02-28,30478686
2021-03-31,31550325
2021-04-30,29078302
2021-05-31,26979504
2021-06-30,30763065
2021-07-31,33769825
2021-08-31,33546757
2021-09-30,34463591
2021-10-31,35853238
2021-11-30,35681078
2021-12-31,32809867
2022-01-31,32924033
2022-02-28,33613649
2022-03-31,35751325
2022-04-30,33352256
2022-05-31,36155676
2022-06-30,35268718
2022-07-31,37818460
2022-08-31,36802379
2022-09-30,35645015
2022-10-31,35669900
2022-11-30,34971580
2022-12-31,32809083
2023-01-31,35630084
2023-02-28,34352986
2023-03-31,36305343
2023-04-30,28156557
2023-05-31,33234151
2023-06-30,33731642
2023-07-31,35290748
2023-08-31,34877630
2023-09-30,31759809
2023-10-31,33429486
2023-11-30,31604558
2023-12-31,27666965
2024-01-31,29403567
2024-02-29,25351969
